"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","verify the details of Naren","firefox","2026-06-03","passed","2026-06-03","","38parameterisation-excel.spec.ts","",""
"","2","verify the details of Vindhya","firefox","2026-06-03","passed","2026-06-03","","38parameterisation-excel.spec.ts","",""
"","14","verify the details of Hema","firefox","2026-06-03","passed","2026-06-03","","38parameterisation-excel.spec.ts","",""
"","4","verify the details of Vindhya","chromium","2026-06-03","passed","2026-06-03","","38parameterisation-excel.spec.ts","",""
"","30225","verfiy the produc flow","firefox","2026-06-03","broken","2026-06-03","","po.spec.ts","",""
"","11","verify the details of Hema","chromium","2026-06-03","passed","2026-06-03","","38parameterisation-excel.spec.ts","",""
"","14","verify the details of Naren","chromium","2026-06-03","passed","2026-06-03","","38parameterisation-excel.spec.ts","",""
"","2","verify the details of Lalitha Varshini","chromium","2026-06-03","passed","2026-06-03","","38parameterisation-excel.spec.ts","",""
"","2","verify the details of Lalitha Varshini","firefox","2026-06-03","passed","2026-06-03","","38parameterisation-excel.spec.ts","",""
"","30160","verfiy the produc flow","chromium","2026-06-03","broken","2026-06-03","","po.spec.ts","",""
